Bank-leitzahl;Bezeichnung;PLZ;Ort;BIC
10310600;Tradegate Wertpapierhandelsbank Berlin;10711;Berlin;TRDADEB1PBK
11010100;solarisBank;10178;Berlin;SOBKDEBBXXX
11010101;solarisBank Gf (S);10178;Berlin;SOBKDEB2XXX
12016836;KfW Kreditanstalt für Wiederaufbau;10117;Berlin;KFWIDEFF100
12030000;Deutsche Kreditbank Berlin;10117;Berlin;BYLADEM1001
12030900;Merck Finck Privatbankiers;10719;Berlin;MEFIDEMM100
12040000;Commerzbank Filiale Berlin 2;10891;Berlin;COBADEBB120
12050555;ZVA Norddeutsche Landesbank Gf SA;30151;Hannover;NOLADE21DVS
12060000;DZ BANK;10001;Berlin;GENODEFF120
12070000;Deutsche Bank Ld Brandenburg;14405;Potsdam;DEUTDEBB160
12070000;Deutsche Bank;16252;Bad Freienwalde (Oder);DEUTDEBB172
12070000;Deutsche Bank;16311;Bernau bei Berlin;DEUTDEBB122
12070000;Deutsche Bank;14776;Brandenburg an der Havel;DEUTDEBB161
12070000;Deutsche Bank;03046;Cottbus;DEUTDEBB180
12070000;Deutsche Bank;16225;Eberswalde;DEUTDEBB173
12070000;Deutsche Bank;15873;Eisenhüttenstadt;DEUTDEBB174
12070000;Deutsche Bank;03232;Finsterwalde;DEUTDEBB182
12070000;Deutsche Bank;15203;Frankfurt (Oder);DEUTDEBB170
12070000;Deutsche Bank;15501;Fürstenwalde/Spree;DEUTDEBB175
12070000;Deutsche Bank;14902;Jüterbog;DEUTDEBB187
12070000;Deutsche Bank;15701;Königs Wusterhausen;DEUTDEBB121
12070000;Deutsche Bank;16856;Kyritz;DEUTDEBB163
12070000;Deutsche Bank;16801;Neuruppin;DEUTDEBB123
12070000;Deutsche Bank;16502;Oranienburg;DEUTDEBB120
12070000;Deutsche Bank;16921;Pritzwalk;DEUTDEBB166
12070000;Deutsche Bank;14712;Rathenow;DEUTDEBB167
12070000;Deutsche Bank;16285;Schwedt/Oder;DEUTDEBB176
12070000;Deutsche Bank;15301;Seelow;DEUTDEBB177
12070000;Deutsche Bank;01968;Senftenberg;DEUTDEBB185
12070000;Deutsche Bank;03130;Spremberg;DEUTDEBB186
12070000;Deutsche Bank;02931;Weißwasser/O.L.;DEUTDEBB189
12070000;Deutsche Bank;03161;Guben;DEUTDEBB183
12070000;Deutsche Bank;16901;Wittstock/Dosse;DEUTDEBB169
12070000;Deutsche Bank;15801;Zossen;DEUTDEBB124
12070000;Deutsche Bank;16278;Angermünde;DEUTDEBB171
12070000;Deutsche Bank;14612;Falkensee;DEUTDEBB162
12070000;Deutsche Bank;03149;Forst (Lausitz);DEUTDEBB181
12070000;Deutsche Bank;16761;Hennigsdorf;DEUTDEBB125
12070000;Deutsche Bank;14943;Luckenwalde;DEUTDEBB188
12070000;Deutsche Bank;14974;Ludwigsfelde;DEUTDEBB164
12070000;Deutsche Bank;15907;Lübben (Spreewald);DEUTDEBB184
12070000;Deutsche Bank;01987;Schwarzheide;DEUTDEBB126
12070000;Deutsche Bank;15344;Strausberg;DEUTDEBB178
12070000;Deutsche Bank;14513;Teltow;DEUTDEBB127
12070000;Deutsche Bank;14542;Werder (Havel);DEUTDEBB168
12070000;Deutsche Bank;14641;Nauen;DEUTDEBB165
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14405;Potsdam;DEUTDEDB160
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16278;Angermünde;DEUTDEDB171
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16252;Bad Freienwalde (Oder);DEUTDEDB172
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16311;Bernau bei Berlin;DEUTDEDB122
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03046;Cottbus;DEUTDEDB180
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16225;Eberswalde;DEUTDEDB173
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15873;Eisenhüttenstadt;DEUTDEDB174
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14612;Falkensee;DEUTDEDB162
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03232;Finsterwalde;DEUTDEDB182
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03149;Forst (Lausitz);DEUTDEDB181
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15203;Frankfurt (Oder);DEUTDEDB170
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15501;Fürstenwalde/Spree;DEUTDEDB175
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03161;Guben;DEUTDEDB183
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16761;Hennigsdorf;DEUTDEDB125
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14902;Jüterbog;DEUTDEDB187
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15701;Königs Wusterhausen;DEUTDEDB121
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16856;Kyritz;DEUTDEDB163
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14943;Luckenwalde;DEUTDEDB188
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14974;Ludwigsfelde;DEUTDEDB164
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15907;Lübben (Spreewald);DEUTDEDB184
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14641;Nauen;DEUTDEDB165
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16801;Neuruppin;DEUTDEDB123
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16502;Oranienburg;DEUTDEDB120
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16921;Pritzwalk;DEUTDEDB166
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14712;Rathenow;DEUTDEDB167
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);01987;Schwarzheide;DEUTDEDB126
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16285;Schwedt/Oder;DEUTDEDB176
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15301;Seelow;DEUTDEDB177
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);01968;Senftenberg;DEUTDEDB185
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);03130;Spremberg;DEUTDEDB186
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15344;Strausberg;DEUTDEDB178
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14513;Teltow;DEUTDEDB127
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);02931;Weißwasser/O.L.;DEUTDEDB189
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14542;Werder (Havel);DEUTDEDB168
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);16901;Wittstock/Dosse;DEUTDEDB169
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);15801;Zossen;DEUTDEDB124
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 704;14776;Brandenburg an der Havel;DEUTDEDB161
12070070;Deutsche Bank (Gf intern);14405;Potsdam;DEUTDEFFVAC
12070088;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) intern;14405;Potsdam;DEUTDEDBPAL
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;10623;Berlin;DRESDEFF120
12090640;apoBank;10625;Berlin;DAAEDED1040
12096597;Sparda-Bank Berlin;10407;Berlin;GENODEF1S10
13000000;Bundesbank;18004;Rostock;MARKDEF1130
13010111;DSK Hyp;18055;Rostock;ESSEDE5F130
13040000;Commerzbank;18006;Rostock;COBADEFFXXX
13050000;Ostseesparkasse Rostock;18004;Rostock;NOLADE21ROS
13051042;Sparkasse Vorpommern auf Rügen;18525;Bergen auf Rügen;NOLADE21RUE
13061008;Volksbank Wolgast -alt-;17438;Wolgast;GENODEF1WOG
13061078;Volks- und Raiffeisenbank;23952;Wismar;GENODEF1HWI
13061088;Raiffeisenbank Wismar -alt-;23952;Wismar;GENODEF1HWR
13061128;Raiffeisenbank;18209;Bad Doberan;GENODEF1DBR
13070000;Deutsche Bank;18002;Rostock;DEUTDEBRXXX
13070000;Deutsche Bank;17381;Anklam;DEUTDEBB151
13070000;Deutsche Bank;18201;Bad Doberan;DEUTDEBR131
13070000;Deutsche Bank;18521;Bergen auf Rügen;DEUTDEBR133
13070000;Deutsche Bank;18241;Bützow;DEUTDEBB130
13070000;Deutsche Bank;17101;Demmin, Hansestadt;DEUTDEBB131
13070000;Deutsche Bank;17462;Greifswald, Hansestadt;DEUTDEBR134
13070000;Deutsche Bank;18502;Grimmen;DEUTDEBR135
13070000;Deutsche Bank;18262;Güstrow;DEUTDEBB141
13070000;Deutsche Bank;19221;Hagenow;DEUTDEBB142
13070000;Deutsche Bank;19281;Ludwigslust;DEUTDEBB143
13070000;Deutsche Bank;19381;Lübz;DEUTDEBB144
13070000;Deutsche Bank;17132;Malchin;DEUTDEBB152
13070000;Deutsche Bank;17036;Neubrandenburg;DEUTDEBB150
13070000;Deutsche Bank;17225;Neustrelitz;DEUTDEBB153
13070000;Deutsche Bank;17281;Prenzlau;DEUTDEBB154
13070000;Deutsche Bank;18311;Ribnitz-Damgarten;DEUTDEBR136
13070000;Deutsche Bank;19002;Schwerin;DEUTDEBB140
13070000;Deutsche Bank;18401;Stralsund;DEUTDEBR138
13070000;Deutsche Bank;17261;Templin;DEUTDEBB155
13070000;Deutsche Bank;17161;Teterow;DEUTDEBB156
13070000;Deutsche Bank;17351;Torgelow;DEUTDEBB179
